model,val_f1,test_f1,val_roc_auc,test_roc_auc
RandomForest,0.6453576864535768,0.6137071651090342,0.8450807838377151,0.8295990783410139
XGBoost,0.6202185792349727,0.6108786610878661,0.8482808721160123,0.826516129032258
CatBoost,0.6455696202531646,0.6016,0.8469337085160971,0.8282718894009217
LightGBM,0.6404657933042213,0.5991189427312775,0.8462486321461742,0.8248110599078341
